task,entity_type,layer,metric,value,notes
task2,PER,layer_0,mean_present,9.871897150258549e-06,logit_lens
task2,PER,layer_0,mean_absent,9.818042782570819e-06,logit_lens
task2,PER,layer_0,emergence_score,5.385436768772954e-08,logit_lens
task2,ORG,layer_0,mean_present,3.079622983932495e-05,logit_lens
task2,ORG,layer_0,mean_absent,3.061393896738688e-05,logit_lens
task2,ORG,layer_0,emergence_score,1.822908719380665e-07,logit_lens
task2,LOC,layer_0,mean_present,5.530664719730975e-06,logit_lens
task2,LOC,layer_0,mean_absent,5.572779565794855e-06,logit_lens
task2,LOC,layer_0,emergence_score,-4.2114846063880526e-08,logit_lens
task2,MISC,layer_0,mean_present,2.4958893104835794e-05,logit_lens
task2,MISC,layer_0,mean_absent,2.4886489603560783e-05,logit_lens
task2,MISC,layer_0,emergence_score,7.240350127501067e-08,logit_lens
task2,PER,layer_1,mean_present,1.2722171720911245e-05,logit_lens
task2,PER,layer_1,mean_absent,1.2565859787755732e-05,logit_lens
task2,PER,layer_1,emergence_score,1.5631193315551236e-07,logit_lens
task2,ORG,layer_1,mean_present,5.3641200065612796e-05,logit_lens
task2,ORG,layer_1,mean_absent,5.333820978800456e-05,logit_lens
task2,ORG,layer_1,emergence_score,3.0299027760823794e-07,logit_lens
task2,LOC,layer_1,mean_present,4.4114618416292125e-06,logit_lens
task2,LOC,layer_1,mean_absent,4.4601595299875635e-06,logit_lens
task2,LOC,layer_1,emergence_score,-4.8697688358350983e-08,logit_lens
task2,MISC,layer_1,mean_present,3.1983410870587385e-05,logit_lens
task2,MISC,layer_1,mean_absent,3.189572020073158e-05,logit_lens
task2,MISC,layer_1,emergence_score,8.769066985580816e-08,logit_lens
task2,PER,layer_2,mean_present,9.994037815781891e-06,logit_lens
task2,PER,layer_2,mean_absent,9.839054491880128e-06,logit_lens
task2,PER,layer_2,emergence_score,1.549833239017631e-07,logit_lens
task2,ORG,layer_2,mean_present,4.545450210571289e-05,logit_lens
task2,ORG,layer_2,mean_absent,4.54405943552653e-05,logit_lens
task2,ORG,layer_2,emergence_score,1.390775044759205e-08,logit_lens
task2,LOC,layer_2,mean_present,5.580933697252389e-06,logit_lens
task2,LOC,layer_2,mean_absent,5.493051985390166e-06,logit_lens
task2,LOC,layer_2,emergence_score,8.788171186222266e-08,logit_lens
task2,MISC,layer_2,mean_present,2.930340943513093e-05,logit_lens
task2,MISC,layer_2,mean_absent,3.023505899947503e-05,logit_lens
task2,MISC,layer_2,emergence_score,-9.316495643440973e-07,logit_lens
task2,PER,layer_3,mean_present,1.2287350951648149e-05,logit_lens
task2,PER,layer_3,mean_absent,1.2224955524472024e-05,logit_lens
task2,PER,layer_3,emergence_score,6.239542717612447e-08,logit_lens
task2,ORG,layer_3,mean_present,7.70270824432373e-05,logit_lens
task2,ORG,layer_3,mean_absent,7.616678873697916e-05,logit_lens
task2,ORG,layer_3,emergence_score,8.602937062581416e-07,logit_lens
task2,LOC,layer_3,mean_present,4.828694355056947e-06,logit_lens
task2,LOC,layer_3,mean_absent,4.76225828513121e-06,logit_lens
task2,LOC,layer_3,emergence_score,6.64360699257369e-08,logit_lens
task2,MISC,layer_3,mean_present,6.785216154875579e-05,logit_lens
task2,MISC,layer_3,mean_absent,6.779907755769057e-05,logit_lens
task2,MISC,layer_3,emergence_score,5.308399106522283e-08,logit_lens
task2,PER,layer_4,mean_present,8.32022213545002e-06,logit_lens
task2,PER,layer_4,mean_absent,8.190278526690367e-06,logit_lens
task2,PER,layer_4,emergence_score,1.2994360875965305e-07,logit_lens
task2,ORG,layer_4,mean_present,0.00012359619140625,logit_lens
task2,ORG,layer_4,mean_absent,0.00012051661809285482,logit_lens
task2,ORG,layer_4,emergence_score,3.0795733133951733e-06,logit_lens
task2,LOC,layer_4,mean_present,3.434807421213173e-06,logit_lens
task2,LOC,layer_4,mean_absent,3.357346241290753e-06,logit_lens
task2,LOC,layer_4,emergence_score,7.746117992242015e-08,logit_lens
task2,MISC,layer_4,mean_present,0.0001190503438313802,logit_lens
task2,MISC,layer_4,mean_absent,0.0001174177048523302,logit_lens
task2,MISC,layer_4,emergence_score,1.6326389790499973e-06,logit_lens
task2,PER,layer_5,mean_present,7.826285284073626e-06,logit_lens
task2,PER,layer_5,mean_absent,7.693930495557168e-06,logit_lens
task2,PER,layer_5,emergence_score,1.3235478851645854e-07,logit_lens
task2,ORG,layer_5,mean_present,0.00013517141342163087,logit_lens
task2,ORG,layer_5,mean_absent,0.00013157924016316732,logit_lens
task2,ORG,layer_5,emergence_score,3.5921732584635543e-06,logit_lens
task2,LOC,layer_5,mean_present,3.429960055523608e-06,logit_lens
task2,LOC,layer_5,mean_absent,3.3907146535368047e-06,logit_lens
task2,LOC,layer_5,emergence_score,3.9245401986803366e-08,logit_lens
task2,MISC,layer_5,mean_present,0.00012501963862666376,logit_lens
task2,MISC,layer_5,mean_absent,0.00012076383381220646,logit_lens
task2,MISC,layer_5,emergence_score,4.2558048144572986e-06,logit_lens
task2,PER,layer_6,mean_present,5.819758430856173e-06,logit_lens
task2,PER,layer_6,mean_absent,5.855405930992511e-06,logit_lens
task2,PER,layer_6,emergence_score,-3.5647500136337644e-08,logit_lens
task2,ORG,layer_6,mean_present,0.00015304088592529296,logit_lens
task2,ORG,layer_6,mean_absent,0.0001489718755086263,logit_lens
task2,ORG,layer_6,emergence_score,4.069010416666652e-06,logit_lens
task2,LOC,layer_6,mean_present,2.004744776760239e-06,logit_lens
task2,LOC,layer_6,mean_absent,2.0268126430674497e-06,logit_lens
task2,LOC,layer_6,emergence_score,-2.206786630721067e-08,logit_lens
task2,MISC,layer_6,mean_present,0.0002247139259620949,logit_lens
task2,MISC,layer_6,mean_absent,0.0002156516720104769,logit_lens
task2,MISC,layer_6,emergence_score,9.06225395161801e-06,logit_lens
task2,PER,layer_7,mean_present,6.042543004770748e-06,logit_lens
task2,PER,layer_7,mean_absent,6.375338533799425e-06,logit_lens
task2,PER,layer_7,emergence_score,-3.3279552902867693e-07,logit_lens
task2,ORG,layer_7,mean_present,0.00020316839218139648,logit_lens
task2,ORG,layer_7,mean_absent,0.00019986629486083983,logit_lens
task2,ORG,layer_7,emergence_score,3.302097320556646e-06,logit_lens
task2,LOC,layer_7,mean_present,1.6420900103557541e-06,logit_lens
task2,LOC,layer_7,mean_absent,1.668547972654685e-06,logit_lens
task2,LOC,layer_7,emergence_score,-2.6457962298930903e-08,logit_lens
task2,MISC,layer_7,mean_present,0.00017727745903862847,logit_lens
task2,MISC,layer_7,mean_absent,0.00017144087422100795,logit_lens
task2,MISC,layer_7,emergence_score,5.8365848176205215e-06,logit_lens
task2,PER,layer_8,mean_present,4.96135383355813e-06,logit_lens
task2,PER,layer_8,mean_absent,5.10477333617725e-06,logit_lens
task2,PER,layer_8,emergence_score,-1.434195026191201e-07,logit_lens
task2,ORG,layer_8,mean_present,0.00015883445739746095,logit_lens
task2,ORG,layer_8,mean_absent,0.00015923182169596354,logit_lens
task2,ORG,layer_8,emergence_score,-3.9736429850259513e-07,logit_lens
task2,LOC,layer_8,mean_present,2.0788915186043246e-06,logit_lens
task2,LOC,layer_8,mean_absent,2.1364699062119184e-06,logit_lens
task2,LOC,layer_8,emergence_score,-5.757838760759382e-08,logit_lens
task2,MISC,layer_8,mean_present,0.0001052927087854456,logit_lens
task2,MISC,layer_8,mean_absent,0.00010217269721058752,logit_lens
task2,MISC,layer_8,emergence_score,3.1200115748580804e-06,logit_lens
task2,PER,layer_9,mean_present,7.153534498371062e-06,logit_lens
task2,PER,layer_9,mean_absent,7.385187011828526e-06,logit_lens
task2,PER,layer_9,emergence_score,-2.316525134574637e-07,logit_lens
task2,ORG,layer_9,mean_present,0.00023654699325561523,logit_lens
task2,ORG,layer_9,mean_absent,0.00023524761199951173,logit_lens
task2,ORG,layer_9,emergence_score,1.2993812561034994e-06,logit_lens
task2,LOC,layer_9,mean_present,2.3005238498549864e-06,logit_lens
task2,LOC,layer_9,mean_absent,2.3671195038363467e-06,logit_lens
task2,LOC,layer_9,emergence_score,-6.659565398136023e-08,logit_lens
task2,MISC,layer_9,mean_present,0.00018133940520109954,logit_lens
task2,MISC,layer_9,mean_absent,0.00017650692449139722,logit_lens
task2,MISC,layer_9,emergence_score,4.83248070970232e-06,logit_lens
task2,PER,layer_10,mean_present,1.037707094286309e-05,logit_lens
task2,PER,layer_10,mean_absent,1.0599764130955977e-05,logit_lens
task2,PER,layer_10,emergence_score,-2.2269318809288803e-07,logit_lens
task2,ORG,layer_10,mean_present,0.00019131898880004884,logit_lens
task2,ORG,layer_10,mean_absent,0.00018965403238932292,logit_lens
task2,ORG,layer_10,emergence_score,1.664956410725915e-06,logit_lens
task2,LOC,layer_10,mean_present,2.352588148002165e-06,logit_lens
task2,LOC,layer_10,mean_absent,2.404436086997008e-06,logit_lens
task2,LOC,layer_10,emergence_score,-5.184793899484286e-08,logit_lens
task2,MISC,layer_10,mean_present,0.000217402422869647,logit_lens
task2,MISC,layer_10,mean_absent,0.00021361202173839414,logit_lens
task2,MISC,layer_10,emergence_score,3.7904011312528505e-06,logit_lens
task2,PER,layer_11,mean_present,8.343184580568408e-06,logit_lens
task2,PER,layer_11,mean_absent,8.581568011277014e-06,logit_lens
task2,PER,layer_11,emergence_score,-2.383834307086061e-07,logit_lens
task2,ORG,layer_11,mean_present,0.00020116567611694336,logit_lens
task2,ORG,layer_11,mean_absent,0.00020135243733723958,logit_lens
task2,ORG,layer_11,emergence_score,-1.8676122029621673e-07,logit_lens
task2,LOC,layer_11,mean_present,2.371798078697848e-06,logit_lens
task2,LOC,layer_11,mean_absent,2.426596788259653e-06,logit_lens
task2,LOC,layer_11,emergence_score,-5.479870956180494e-08,logit_lens
task2,MISC,layer_11,mean_present,0.00014248600712528936,logit_lens
task2,MISC,layer_11,mean_absent,0.00014016807423850706,logit_lens
task2,MISC,layer_11,emergence_score,2.3179328867823073e-06,logit_lens
task2,PER,layer_12,mean_present,6.5247543522569e-06,logit_lens
task2,PER,layer_12,mean_absent,6.958091859337237e-06,logit_lens
task2,PER,layer_12,emergence_score,-4.333375070803372e-07,logit_lens
task2,ORG,layer_12,mean_present,0.00013016462326049806,logit_lens
task2,ORG,layer_12,mean_absent,0.00013020833333333333,logit_lens
task2,ORG,layer_12,emergence_score,-4.371007283527381e-08,logit_lens
task2,LOC,layer_12,mean_present,2.3107571774218457e-06,logit_lens
task2,LOC,layer_12,mean_absent,2.3784545751718374e-06,logit_lens
task2,LOC,layer_12,emergence_score,-6.769739774999176e-08,logit_lens
task2,MISC,layer_12,mean_present,0.00013393825954861112,logit_lens
task2,MISC,layer_12,mean_absent,0.00013476575730163927,logit_lens
task2,MISC,layer_12,emergence_score,-8.274977530281502e-07,logit_lens
task2,PER,layer_13,mean_present,4.713164001214699e-06,logit_lens
task2,PER,layer_13,mean_absent,4.525879304186045e-06,logit_lens
task2,PER,layer_13,emergence_score,1.8728469702865402e-07,logit_lens
task2,ORG,layer_13,mean_present,0.00011115074157714843,logit_lens
task2,ORG,layer_13,mean_absent,0.00010892550150553386,logit_lens
task2,ORG,layer_13,emergence_score,2.225240071614579e-06,logit_lens
task2,LOC,layer_13,mean_present,9.125614740762366e-07,logit_lens
task2,LOC,layer_13,mean_absent,9.228531112018813e-07,logit_lens
task2,LOC,layer_13,emergence_score,-1.0291637125644715e-08,logit_lens
task2,MISC,layer_13,mean_present,7.297374584056713e-05,logit_lens
task2,MISC,layer_13,mean_absent,7.17240261893741e-05,logit_lens
task2,MISC,layer_13,emergence_score,1.2497196511930357e-06,logit_lens
task2,PER,layer_14,mean_present,1.143603051295046e-06,logit_lens
task2,PER,layer_14,mean_absent,1.0290377431636235e-06,logit_lens
task2,PER,layer_14,emergence_score,1.1456530813142253e-07,logit_lens
task2,ORG,layer_14,mean_present,8.434653282165527e-05,logit_lens
task2,ORG,layer_14,mean_absent,8.306105931599935e-05,logit_lens
task2,ORG,layer_14,emergence_score,1.2854735056559209e-06,logit_lens
task2,LOC,layer_14,mean_present,3.384403794644827e-07,logit_lens
task2,LOC,layer_14,mean_absent,3.442709517275166e-07,logit_lens
task2,LOC,layer_14,emergence_score,-5.830572263033909e-09,logit_lens
task2,MISC,layer_14,mean_present,2.8557247585720485e-05,logit_lens
task2,MISC,layer_14,mean_absent,2.7728907634757157e-05,logit_lens
task2,MISC,layer_14,emergence_score,8.283399509633277e-07,logit_lens
task2,PER,layer_15,mean_present,3.395021938886799e-06,logit_lens
task2,PER,layer_15,mean_absent,2.8178203020164436e-06,logit_lens
task2,PER,layer_15,emergence_score,5.772016368703553e-07,logit_lens
task2,ORG,layer_15,mean_present,8.150935173034668e-05,logit_lens
task2,ORG,layer_15,mean_absent,8.118152618408203e-05,logit_lens
task2,ORG,layer_15,emergence_score,3.2782554626464844e-07,logit_lens
task2,LOC,layer_15,mean_present,8.844647062830178e-07,logit_lens
task2,LOC,layer_15,mean_absent,9.098305152012751e-07,logit_lens
task2,LOC,layer_15,emergence_score,-2.5365808918257362e-08,logit_lens
task2,MISC,layer_15,mean_present,5.1180521647135414e-05,logit_lens
task2,MISC,layer_15,mean_absent,5.137713658327312e-05,logit_lens
task2,MISC,layer_15,emergence_score,-1.9661493613770545e-07,logit_lens
task2,PER,layer_16,mean_present,7.900058246049724e-07,logit_lens
task2,PER,layer_16,mean_absent,7.905923634124317e-07,logit_lens
task2,PER,layer_16,emergence_score,-5.865388074592724e-10,logit_lens
task2,ORG,layer_16,mean_present,7.660984992980957e-05,logit_lens
task2,ORG,layer_16,mean_absent,7.484753926595052e-05,logit_lens
task2,ORG,layer_16,emergence_score,1.7623106638590459e-06,logit_lens
task2,LOC,layer_16,mean_present,1.7430319125393786e-07,logit_lens
task2,LOC,layer_16,mean_absent,2.0779637444732535e-07,logit_lens
task2,LOC,layer_16,emergence_score,-3.349318319338749e-08,logit_lens
task2,MISC,layer_16,mean_present,3.0261498910409432e-05,logit_lens
task2,MISC,layer_16,mean_absent,3.0631963917285724e-05,logit_lens
task2,MISC,layer_16,emergence_score,-3.704650068762916e-07,logit_lens
task2,PER,layer_17,mean_present,3.4150530080326267e-07,logit_lens
task2,PER,layer_17,mean_absent,3.0319574925539303e-07,logit_lens
task2,PER,layer_17,emergence_score,3.8309551547869635e-08,logit_lens
task2,ORG,layer_17,mean_present,3.8731098175048825e-05,logit_lens
task2,ORG,layer_17,mean_absent,3.741979598999023e-05,logit_lens
task2,ORG,layer_17,emergence_score,1.3113021850585938e-06,logit_lens
task2,LOC,layer_17,mean_present,9.696975529912006e-08,logit_lens
task2,LOC,layer_17,mean_absent,9.97947958799509e-08,logit_lens
task2,LOC,layer_17,emergence_score,-2.825040580830834e-09,logit_lens
task2,MISC,layer_17,mean_present,2.0009500009042245e-05,logit_lens
task2,MISC,layer_17,mean_absent,2.029968824000717e-05,logit_lens
task2,MISC,layer_17,emergence_score,-2.901882309649256e-07,logit_lens
task2,PER,layer_18,mean_present,4.2335481428709185e-07,logit_lens
task2,PER,layer_18,mean_absent,2.9601987531716873e-07,logit_lens
task2,PER,layer_18,emergence_score,1.2733493896992312e-07,logit_lens
task2,ORG,layer_18,mean_present,1.1746212840080261e-05,logit_lens
task2,ORG,layer_18,mean_absent,1.0189165671666463e-05,logit_lens
task2,ORG,layer_18,emergence_score,1.5570471684137981e-06,logit_lens
task2,LOC,layer_18,mean_present,1.896938578371542e-08,logit_lens
task2,LOC,layer_18,mean_absent,1.9831399823355877e-08,logit_lens
task2,LOC,layer_18,emergence_score,-8.620140396404562e-10,logit_lens
task2,MISC,layer_18,mean_present,1.0714486793235497e-05,logit_lens
task2,MISC,layer_18,mean_absent,9.166539748969105e-06,logit_lens
task2,MISC,layer_18,emergence_score,1.5479470442663919e-06,logit_lens
task2,PER,layer_19,mean_present,5.080135630779579e-07,logit_lens
task2,PER,layer_19,mean_absent,4.552023337899352e-07,logit_lens
task2,PER,layer_19,emergence_score,5.281122928802267e-08,logit_lens
task2,ORG,layer_19,mean_present,6.651878356933593e-06,logit_lens
task2,ORG,layer_19,mean_absent,5.8479607105255125e-06,logit_lens
task2,ORG,layer_19,emergence_score,8.039176464080809e-07,logit_lens
task2,LOC,layer_19,mean_present,5.126481943101768e-08,logit_lens
task2,LOC,layer_19,mean_absent,6.04444270969456e-08,logit_lens
task2,LOC,layer_19,emergence_score,-9.179607665927924e-09,logit_lens
task2,MISC,layer_19,mean_present,7.244171919646087e-06,logit_lens
task2,MISC,layer_19,mean_absent,6.9216324414821025e-06,logit_lens
task2,MISC,layer_19,emergence_score,3.2253947816398403e-07,logit_lens
task2,PER,layer_20,mean_present,2.1601340076962455e-07,logit_lens
task2,PER,layer_20,mean_absent,1.4683573419670407e-07,logit_lens
task2,PER,layer_20,emergence_score,6.917766657292048e-08,logit_lens
task2,ORG,layer_20,mean_present,1.245131716132164e-06,logit_lens
task2,ORG,layer_20,mean_absent,1.14020270605882e-06,logit_lens
task2,ORG,layer_20,emergence_score,1.0492901007334398e-07,logit_lens
task2,LOC,layer_20,mean_present,1.1569824552230807e-08,logit_lens
task2,LOC,layer_20,mean_absent,8.402487290943535e-09,logit_lens
task2,LOC,layer_20,emergence_score,3.167337261287272e-09,logit_lens
task2,MISC,layer_20,mean_present,4.755126105414496e-06,logit_lens
task2,MISC,layer_20,mean_absent,3.2717092877867592e-06,logit_lens
task2,MISC,layer_20,emergence_score,1.483416817627737e-06,logit_lens
task2,PER,layer_21,mean_present,1.1272362021149182e-06,logit_lens
task2,PER,layer_21,mean_absent,6.289526203767859e-07,logit_lens
task2,PER,layer_21,emergence_score,4.982835817381324e-07,logit_lens
task2,ORG,layer_21,mean_present,1.7622718587517737e-06,logit_lens
task2,ORG,layer_21,mean_absent,1.5988325079282125e-06,logit_lens
task2,ORG,layer_21,emergence_score,1.6343935082356125e-07,logit_lens
task2,LOC,layer_21,mean_present,6.385240142783487e-08,logit_lens
task2,LOC,layer_21,mean_absent,2.8629400707685793e-08,logit_lens
task2,LOC,layer_21,emergence_score,3.5223000720149077e-08,logit_lens
task2,MISC,layer_21,mean_present,5.2609377437167696e-06,logit_lens
task2,MISC,layer_21,mean_absent,4.131368474464196e-06,logit_lens
task2,MISC,layer_21,emergence_score,1.1295692692525738e-06,logit_lens
task2,PER,layer_22,mean_present,8.025545255685622e-11,logit_lens
task2,PER,layer_22,mean_absent,5.241786221703602e-11,logit_lens
task2,PER,layer_22,emergence_score,2.7837590339820196e-11,logit_lens
task2,ORG,layer_22,mean_present,2.0183648530291974e-09,logit_lens
task2,ORG,layer_22,mean_absent,1.7944500996236456e-09,logit_lens
task2,ORG,layer_22,emergence_score,2.2391475340555177e-10,logit_lens
task2,LOC,layer_22,mean_present,1.0272770050943953e-10,logit_lens
task2,LOC,layer_22,mean_absent,3.59862263444989e-11,logit_lens
task2,LOC,layer_22,emergence_score,6.674147416494063e-11,logit_lens
task2,MISC,layer_22,mean_present,4.109008639514084e-09,logit_lens
task2,MISC,layer_22,mean_absent,3.968140498270358e-09,logit_lens
task2,MISC,layer_22,emergence_score,1.4086814124372534e-10,logit_lens
task2,PER,layer_23,mean_present,6.361286725062901e-13,logit_lens
task2,PER,layer_23,mean_absent,6.849405135792838e-13,logit_lens
task2,PER,layer_23,emergence_score,-4.881184107299365e-14,logit_lens
task2,ORG,layer_23,mean_present,6.3808514028096395e-12,logit_lens
task2,ORG,layer_23,mean_absent,7.344570322291114e-12,logit_lens
task2,ORG,layer_23,emergence_score,-9.637189194814747e-13,logit_lens
task2,LOC,layer_23,mean_present,4.77991408167809e-12,logit_lens
task2,LOC,layer_23,mean_absent,1.361425692029403e-12,logit_lens
task2,LOC,layer_23,emergence_score,3.418488389648687e-12,logit_lens
task2,MISC,layer_23,mean_present,7.09881536269879e-11,logit_lens
task2,MISC,layer_23,mean_absent,5.26808295124525e-11,logit_lens
task2,MISC,layer_23,emergence_score,1.83073241145354e-11,logit_lens
task2,PER,layer_24,mean_present,3.890148676776737e-14,logit_lens
task2,PER,layer_24,mean_absent,9.974958509064809e-13,logit_lens
task2,PER,layer_24,emergence_score,-9.585943641387134e-13,logit_lens
task2,ORG,layer_24,mean_present,1.5758616633831935e-12,logit_lens
task2,ORG,layer_24,mean_absent,1.7443158029095684e-12,logit_lens
task2,ORG,layer_24,emergence_score,-1.6845413952637492e-13,logit_lens
task2,LOC,layer_24,mean_present,1.045007186540573e-11,logit_lens
task2,LOC,layer_24,mean_absent,7.184999034483879e-12,logit_lens
task2,LOC,layer_24,emergence_score,3.26507283092185e-12,logit_lens
task2,MISC,layer_24,mean_present,1.6370904631912708e-10,logit_lens
task2,MISC,layer_24,mean_absent,2.1812626977607262e-10,logit_lens
task2,MISC,layer_24,emergence_score,-5.441722345694554e-11,logit_lens
task2,PER,layer_25,mean_present,6.94955818757102e-17,logit_lens
task2,PER,layer_25,mean_absent,3.603365712795234e-15,logit_lens
task2,PER,layer_25,emergence_score,-3.533870130919524e-15,logit_lens
task2,ORG,layer_25,mean_present,1.8013233049271606e-15,logit_lens
task2,ORG,layer_25,mean_absent,2.1698391058459315e-14,logit_lens
task2,ORG,layer_25,emergence_score,-1.9897067753532155e-14,logit_lens
task2,LOC,layer_25,mean_present,4.548480484492021e-14,logit_lens
task2,LOC,layer_25,mean_absent,3.327894702449617e-13,logit_lens
task2,LOC,layer_25,emergence_score,-2.8730466540004147e-13,logit_lens
task2,MISC,layer_25,mean_present,4.291382064517772e-13,logit_lens
task2,MISC,layer_25,mean_absent,6.582621410062776e-13,logit_lens
task2,MISC,layer_25,emergence_score,-2.2912393455450045e-13,logit_lens
task2,PER,layer_26,mean_present,1.0597059357932813e-23,logit_lens
task2,PER,layer_26,mean_absent,8.943208706603368e-25,logit_lens
task2,PER,layer_26,emergence_score,9.702738487272476e-24,logit_lens
task2,ORG,layer_26,mean_present,3.8947653739217256e-22,logit_lens
task2,ORG,layer_26,mean_absent,3.2562845981299213e-21,logit_lens
task2,ORG,layer_26,emergence_score,-2.8668080607377486e-21,logit_lens
task2,LOC,layer_26,mean_present,1.7613531910745166e-22,logit_lens
task2,LOC,layer_26,mean_absent,1.15121116538231e-23,logit_lens
task2,LOC,layer_26,emergence_score,1.6462320745362857e-22,logit_lens
task2,MISC,layer_26,mean_present,9.9630534786924e-20,logit_lens
task2,MISC,layer_26,mean_absent,3.1163256128202147e-19,logit_lens
task2,MISC,layer_26,emergence_score,-2.1200202649509747e-19,logit_lens
task2,PER,layer_27,mean_present,4.922580573219438e-18,logit_lens
task2,PER,layer_27,mean_absent,2.0065822152801178e-14,logit_lens
task2,PER,layer_27,emergence_score,-2.006089957222796e-14,logit_lens
task2,ORG,layer_27,mean_present,4.906085981264477e-16,logit_lens
task2,ORG,layer_27,mean_absent,7.106948086673184e-14,logit_lens
task2,ORG,layer_27,emergence_score,-7.057887226860539e-14,logit_lens
task2,LOC,layer_27,mean_present,2.0872417704276968e-15,logit_lens
task2,LOC,layer_27,mean_absent,3.162393029289955e-13,logit_lens
task2,LOC,layer_27,emergence_score,-3.1415206115856776e-13,logit_lens
task2,MISC,layer_27,mean_present,2.0654452942209037e-15,logit_lens
task2,MISC,layer_27,mean_absent,7.313058027343327e-14,logit_lens
task2,MISC,layer_27,emergence_score,-7.106513497921237e-14,logit_lens
